"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-12",,,"0.00","0.0","0.0",,"51","38",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-13",,,"0.00","0.0","0.0",,"52","37",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-14",,,"0.00","0.0","0.0",,"52","36",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-15",,,"0.00","0.0","0.0",,"60","41",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-16",,,"0.00","0.0","0.0",,"64","45",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-17",,,"0.00","0.0","0.0",,"72","51",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-18",,,"0.00","0.0","0.0",,"76","53",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-19",,,"0.00","0.0","0.0",,"73","54",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-20",,,"0.00","0.0","0.0",,"66","48",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-21",,,"0.00","0.0","0.0",,"60","46",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-22",,,"0.00","0.0","0.0",,"71","53",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-23",,,"0.39","0.0","0.0",,"87","60",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-24",,,"0.00","0.0","0.0",,"70","56",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-25",,,"0.05","0.0","0.0",,"69","51",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-26",,,"1.56","0.0","0.0",,"55","50",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-27",,,"0.31","0.0","0.0",,"59","50",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-28",,,"0.01","0.0","0.0",,"61","51",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-29",,,"0.00","0.0","0.0",,"62","51",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-30",,,"0.00","0.0","0.0",,"65","50",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-01",,,"0.00","0.0","0.0",,"66","50",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-02",,,"0.00","0.0","0.0",,"68","54",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-03",,,"0.31","0.0","0.0",,"70","56",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-04",,,"0.00","0.0","0.0",,"65","51",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-05",,,"0.00","0.0","0.0",,"60","50",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-06",,,"0.00","0.0","0.0",,"70","50",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-07",,,"0.00","0.0","0.0",,"66","48",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-08",,,"0.06","0.0","0.0",,"59","49",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-09",,,"0.87","0.0","0.0",,"63","56",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-10",,,"0.00","0.0","0.0",,"64","55",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-11",,,"0.07","0.0","0.0",,"73","57",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-12",,,"0.02","0.0","0.0",,"61","48",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-13",,,"0.00","0.0","0.0",,"69","49",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-14",,,"0.00","0.0","0.0",,"66","50",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-15",,,"0.19","0.0","0.0",,"56","48",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-05-16",,,"0.00","0.0","0.0",,"60","45",,
