"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-16",," 0136","0.00","0.0","0.0",,"58","43","  315","34.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-17",," 1554","0.00","0.0","0.0",,"69","43","  135","21.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-18",," 2342","0.00","0.0","0.0",,"69","54","  135","31.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-19",," 1024","0.58","0.0","0.0",,"74","56","  225","48.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-20",," 2254","0.00","0.0","0.0",,"80","57","  135","26.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-21",," 0324","0.00","0.0","0.0",,"81","64","  180","34.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-22",," 0948","0.14","0.0","0.0",,"73","56","   45","27.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-23",," 2342","0.00","0.0","0.0",,"77","50","   90","24.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-24",," 1606","0.00","0.0","0.0",,"73","57","  315","28.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-25",," 0112","0.00","0.0","0.0",,"62","55","  315","27.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-26",," 1518","0.00","0.0","0.0",,"61","47","  315","38.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-27",," 1248","0.00","0.0","0.0",,"66","41","  315","20.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-28",," 1112","0.00","0.0","0.0",,"71","42","  180","33.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-29",," 1612","0.00","0.0","0.0",,"76","57","  180","34.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-30",," 1406","0.00","0.0","0.0",,"73","67","  180","36.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-01",," 1518","0.00","0.0","0.0",,"82","51","  225","47.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-02",," 0106","0.00","0.0","0.0",,"64","43","  360","35.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-03",," 1412","0.00","0.0","0.0",,"72","40","  315","20.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-04",," 1424","0.00","0.0","0.0",,"75","44","  135","25.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-05",," 0918","0.00","0.0","0.0",,"70","53","  180","34.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-06",," 1918","0.50","0.0","0.0",,"78","59","  225","47.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-07",," 0754","0.00","0.0","0.0",,"74","50","  315","35.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-08",," 1412","0.00","0.0","0.0",,"80","47","  225","13.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-09",," 0854","0.00","0.0","0.0",,"85","56","  180","31.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-10",," 2118","0.00","0.0","0.0",,"88","60","   90","12.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-11",," 1006","0.00","0.0","0.0",,"80","63","   45","40.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-12",," 1624","0.00","0.0","0.0",,"74","55","  360","25.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-13",," 1418","0.00","0.0","0.0",,"71","49","  360","26.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-14",," 1542","0.00","0.0","0.0",,"70","45","  315","25.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-15",," 1530","0.00","0.0","0.0",,"75","42","  270","24.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-16",," 1006","0.00","0.0","0.0",,"86","51","  225","32.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-17",," 2224","0.00","0.0","0.0",,"78","46","  225","30.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-18",," 0830","0.00","0.0","0.0",,"87","55","  225","16.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-19",," 1842","0.00","0.0","0.0",,"96","58","   45","23.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-20",," 0930","0.00","0.0","0.0",,"83","60","  135","26.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-21",," 1930","0.01","0.0","0.0",,"91","65","  270","42.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-22",," 0254","0.37","0.0","0.0",,"83","65","  315","28.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-23",," 0118","0.32","0.0","0.0",,"78","59","   45","36.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-24",," 1618","0.36","0.0","0.0",,"85","58","  315","30.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-25",," 1400","0.00","0.0","0.0",,"78","57","  135","23.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-26",," 1754","0.13","0.0","0.0",,"93","60","  315","41.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-27",," 1300","0.02","0.0","0.0",,"75","51","  270","56.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-28",," 0130","0.00","0.0","0.0",,"78","59","  315","47.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-29",," 1454","0.00","0.0","0.0",,"80","55","  360","25.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-30",," 2318","0.75","0.0","0.0",,"77","59","   45","30.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-05-31",," 0018","1.15","0.0","0.0",,"77","60","   45","28.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-06-01",," 1000","0.55","0.0","0.0",,"80","63","  225","32.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-06-02",," 0348","1.66","0.0","0.0",,"71","62","   90","28.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-06-03",," 1136","0.00","0.0","0.0",,"81","67","  180","36.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-06-04",," 1900","1.32","0.0","0.0",,"88","65","  315","54.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-06-05",," 0048","0.00","0.0","0.0",,"76","57","  315","34.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-06-06",," 1242","0.00","0.0","0.0",,"84","53","  360","19.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-06-07",," 1324","0.00","0.0","0.0",,"87","58","  225","19.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-06-08",," 1130","0.00","0.0","0.0",,"87","61","  180","16.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-06-09",," 1754","0.00","0.0","0.0",,"86","62","  135","16.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-06-10",," 1806","0.00","0.0","0.0",,"85","65","  135","27.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-06-11",," 1548","0.33","0.0","0.0",,"87","68","  135","34.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-06-12",," 0230","0.00","0.0","0.0",,"82","65","  135","17.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-06-13",," 1536","0.00","0.0","0.0",,"80","68","  135","23.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-06-14",," 2054","1.23","0.0","0.0",,"85","70","  135","26.4"
